Decks,White,Blue,Black,Red,Green
"Anikthea, Hand of Erebos",0.32,,0.19,,0.49
"Auntie Ool, Cursewretch",,,0.62,0.18,0.2
"Braids, Arisen Nightmare",,,1.0,,
Edgar Markov,0.23,,0.6,0.17,
"Nelly Borca, Impulsive Accuser",0.52,,,0.48,
"Oloro, Ageless Ascetic",0.54,0.16,0.3,,
"Omo, Queen of Vesuva",,0.44,,,0.56
Queen Marchesa,0.39,,0.35,0.26,
"Shelob, Child of Ungoliant",,,0.21,,0.79
"Zimone, Mystery Unraveler",,0.35,,,0.65
Zoyowa Lava-Tongue,,,0.91,0.09,
Average,0.4,0.3166666667,0.5225,0.236,0.538
Decks with Color,5,3,8,5,5
Decks with Most,3.0,0.0,3.0,0.0,4.0
Decks with Majority,2.0,0.0,3.0,0.0,3.0
