Deck,Owner,Games Played,Wins,Win Rate,Average Placement,Last Place Count
Avatar Aang,Eric,4,4,1,1,0
"Doctor Doom, King of Latveria",Harrison,3,3,1,1,0
"Alela, Cunning Conqueror",Eric,1,1,1,1,0
"Bruvac, the Grandiloquent",Eric,1,1,1,1,0
Fire Lord Azula,Eric,1,1,1,1,0
Lucius the Eternal,Mitchell,1,1,1,1,0
"Oloro, Ageless Ascetic",Mitchell,1,1,1,1,0
Zurgo Stormrender,Harrison,1,1,1,1,0
"Nelly Borca, Impulsive Accuser",Mitchell,4,2,0.500,1.500,1
"Zimone, Mystery Unraveler",Mitchell,5,2,0.400,1.800,2
The Wise Mothman,Hunter,9,4,0.444,2,2
"Pantlaza, Sun-Favored (H)",Hunter,8,3,0.375,2,2
Sonic the Hedgehog,Harrison,4,1,0.250,2,2
"Teval, the Balanced Scale",Harrison,3,1,0.333,2,0
"Anikthea, Hand of Erebos",Mitchell,2,1,0.500,2,0
Hakbal of the Surging Soul,Eric,2,1,0.500,2,0
"Krenko, Mob Boss",Harrison,2,0,0,2,0
"Wayta, Trainer Prodigy",Harrison,1,0,0,2,0
"Leonardo, the Balance & Michelangelo, the Heart",Harrison,6,1,0.167,2.167,0
Queen Marchesa,Mitchell,5,0,0,2.200,1
"Shelob, Child of Ungoliant",Mitchell,5,1,0.200,2.200,2
"Tidus, Yuna's Guardian",Hunter,9,1,0.111,2.222,5
Ms. Bumbleflower,Eric,6,1,0.167,2.333,2
"Ashling, the Limitless",Eric,3,1,0.333,2.333,1
"Chatterfang, Squirrel General",Eric,3,0,0,2.333,2
Invisible Woman,Eric,3,1,0.333,2.333,2
Edgar Markov,Mitchell,5,0,0,2.400,1
"Sauron, the Dark Lord",Harrison,8,0,0,2.500,5
"Frodo, Adventurous Hobbit & Sam, Loyal Attendant",Eric,2,1,0.500,2.500,1
"Pantlaza, Sun-Favored (E)",Eric,3,1,0.333,2.667,2
Zoyowa Lava-Tongue,Mitchell,3,0,0,2.667,2
"Cloud, Ex-SOLDIER",Hunter,9,1,0.111,3,7
"Braids, Arisen Nightmare",Mitchell,3,0,0,3,2
"Shiko and Narset, Unified",Harrison,3,0,0,3,2
Ureni of the Unwritten,Harrison,3,0,0,3,2
"Omo, Queen of Vesuva",Mitchell,2,0,0,3,1
"Thurid, Mare of Destiny",Eric,2,0,0,3,0
"Bifur, Melodic Rider",Harrison,1,0,0,3,0
Dr. Eggman,Harrison,1,0,0,3,0
The Ur-Dragon,Harrison,1,0,0,3,0
"Terra, Herald of Hope",Eric,5,0,0,3.200,5
"Auntie Ool, Cursewretch",Mitchell,1,0,0,4,1
"Gimbal, Gremlin Prodigy",Harrison,1,0,0,4,1
