Deck,Owner,Games Played,Wins,Win Rate,Average Placement,Last Place Count
"Zimone, Mystery Unraveler",Mitchell,5,2,0.400,1.800,2
The Wise Mothman,Hunter,9,4,0.444,2,2
"Pantlaza, Sun-Favored (H)",Hunter,8,3,0.375,2,2
"Leonardo, the Balance & Michelangelo, the Heart",Harrison,6,1,0.167,2.167,0
Queen Marchesa,Mitchell,5,0,0,2.200,1
"Shelob, Child of Ungoliant",Mitchell,5,1,0.200,2.200,2
"Tidus, Yuna's Guardian",Hunter,9,1,0.111,2.222,5
Ms. Bumbleflower,Eric,6,1,0.167,2.333,2
Edgar Markov,Mitchell,5,0,0,2.400,1
"Sauran, the Dark Lord",Harrison,8,0,0,2.500,5
"Cloud, Ex-SOLDIER",Hunter,9,1,0.111,3,7
"Terra, Herald of Hope",Eric,5,0,0,3.200,5
