Owner,Deck,Games Played,Wins,Win Rate,Average Placement,Last Place Count
Mitchell,Lucius the Eternal,1,1,1,1,0
Mitchell,"Oloro, Ageless Ascetic",1,1,1,1,0
Mitchell,"Anikthea, Hand of Erebos",2,1,0.500,2,0
Mitchell,"Nelly Borca, Impulsive Accuser",4,2,0.500,1.500,1
Mitchell,"Zimone, Mystery Unraveler",5,2,0.400,1.800,2
Mitchell,"Shelob, Child of Ungoliant",5,1,0.200,2.200,2
Mitchell,"Auntie Ool, Cursewretch",1,0,0,4,1
Mitchell,"Braids, Arisen Nightmare",3,0,0,3,2
Mitchell,Edgar Markov,5,0,0,2.400,1
Mitchell,"Omo, Queen of Vesuva",2,0,0,3,1
Mitchell,Queen Marchesa,5,0,0,2.200,1
Mitchell,Zoyowa Lava-Tongue,3,0,0,2.667,2
Eric,"Alela, Cunning Conqueror",1,1,1,1,0
Eric,Avatar Aang,4,4,1,1,0
Eric,"Bruvac, the Grandiloquent",1,1,1,1,0
Eric,Fire Lord Azula,1,1,1,1,0
Eric,"Frodo, Adventurous Hobbit & Sam, Loyal Attendant",2,1,0.500,2.500,1
Eric,Hakbal of the Surging Soul,2,1,0.500,2,0
Eric,"Ashling, the Limitless",3,1,0.333,2.333,1
Eric,Invisible Woman,3,1,0.333,2.333,2
Eric,"Pantlaza, Sun-Favored (E)",3,1,0.333,2.667,2
Eric,Ms. Bumbleflower,6,1,0.167,2.333,2
Eric,"Chatterfang, Squirrel General",3,0,0,2.333,2
Eric,"Terra, Herald of Hope",5,0,0,3.200,5
Eric,"Thurid, Mare of Destiny",2,0,0,3,0
Hunter,The Wise Mothman,9,4,0.444,2,2
Hunter,"Pantlaza, Sun-Favored (H)",8,3,0.375,2,2
Hunter,"Cloud, Ex-SOLDIER",9,1,0.111,3,7
Hunter,"Tidus, Yuna's Guardian",9,1,0.111,2.222,5
Harrison,"Doctor Doom, King of Latveria",3,3,1,1,0
Harrison,Zurgo Stormrender,1,1,1,1,0
Harrison,"Teval, the Balanced Scale",3,1,0.333,2,0
Harrison,Sonic the Hedgehog,4,1,0.250,2,2
Harrison,"Leonardo, the Balance & Michelangelo, the Heart",6,1,0.167,2.167,0
Harrison,"Bifur, Melodic Rider",1,0,0,3,0
Harrison,Dr. Eggman,1,0,0,3,0
Harrison,"Gimbal, Gremlin Prodigy",1,0,0,4,1
Harrison,"Krenko, Mob Boss",2,0,0,2,0
Harrison,"Sauron, the Dark Lord",8,0,0,2.500,5
Harrison,"Shiko and Narset, Unified",3,0,0,3,2
Harrison,The Ur-Dragon,1,0,0,3,0
Harrison,Ureni of the Unwritten,3,0,0,3,2
Harrison,"Wayta, Trainer Prodigy",1,0,0,2,0
Harrison,Sliver Gravemother,0,0,,,0
